;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Score;Accuracy;Moves;Date;;Players;Rating;Score;Accuracy;Moves;Date;;Game_id;Black;White;Resoult;Accuracy;Moves;Rating;Date;;My_rating;Opponent_rating;;;;;;;
bhenkabhai(1035);0;62.7;21;09.cze.22;;1035;Lose;62.7;21;09.06.2022;;bhenkabhai;Lose;62.7;21;09.06.2022;;bhenkabhai;1035;Lose;62.7;21;09.06.2022;;;bhenkabhai;Aviozek;;;;;;;;1035;;;;1035;1009;;
Aviozek(1127);1;75.3;;;;1127;Win;75.3;;;;Aviozek;Win;75.3;;;;Aviozek;1127;Win;75.3;;;;;;;;;21;;09.06.2022;;1127;;;;;1027;1021;;
Aviozek(1120);½;87.4;43;07.cze.22;;1120;Tie;87.4;43;07.06.2022;;Aviozek;Tie;87.4;43;07.06.2022;;Aviozek;1120;Tie;87.4;43;07.06.2022;;;Aviozek;matmar1940;;;;;;;1120;;;;;1019;912;;
matmar1940(1141);½;84.8;;;;1141;Tie;84.8;;;;matmar1940;Tie;84.8;;;;matmar1940;1141;Tie;84.8;;;;;;;;;43;;07.06.2022;;;1141;;;;1013;1009;;
newgammer(1159);0;55.3;23;07.cze.22;;1159;Lose;55.3;23;07.06.2022;;newgammer;Lose;55.3;23;07.06.2022;;newgammer;1159;Lose;55.3;23;07.06.2022;;;newgammer;Aviozek;;;;;;;;1159;;;;1005;961;;
Aviozek(1119);1;63.7;;;;1119;Win;63.7;;;;Aviozek;Win;63.7;;;;Aviozek;1119;Win;63.7;;;;;;;;;23;;07.06.2022;;1119;;;;;997;885;;
Aviozek(1108);1;75.7;30;06.cze.22;;1108;Win;75.7;30;06.06.2022;;Aviozek;Win;75.7;30;06.06.2022;;Aviozek;1108;Win;75.7;30;06.06.2022;;;Aviozek;drkylcndg1;;;;;;;1108;;;;;;;;
drkylcndg1(1103);0;58.8;;;;1103;Lose;58.8;;;;drkylcndg1;Lose;58.8;;;;drkylcndg1;1103;Lose;58.8;;;;;;;;;30;;06.06.2022;;;1103;;;;;;;
Aviozek(1098);1;82.1;46;06.cze.22;;1098;Win;82.1;46;06.06.2022;;Aviozek;Win;82.1;46;06.06.2022;;Aviozek;1098;Win;82.1;46;06.06.2022;;;Aviozek;ramin_fatahii;;;;;;;1098;;;;;;;;
ramin_fatahii(985);0;74.5;;;;985;Lose;74.5;;;;ramin_fatahii;Lose;74.5;;;;ramin_fatahii;985;Lose;74.5;;;;;;;;;46;;06.06.2022;;;985;;;;;;;
